"protocol","nCD","ReSx","ReSz","meanN"
"qubit_sharpen",32,0.5867509147425392,0.5548608880234674,34.651780470220224
"qubit_sharpen",34,0.5628959201294848,0.5252818317215329,35.39011915825307
"qubit_sharpen",36,0.5564629261166414,0.5231341243559491,35.892462791499526
"qubit_sharpen",38,0.5359766607092673,0.49753079926360466,36.45311579008909
"qubit_sharpen",40,0.5314177224683568,0.4973819822494145,36.81286912914827
"qubit_sharpen",42,0.5142967794232454,0.47571384225727925,37.239458469401214
"qubit_sharpen",44,0.5114593730052729,0.4771166059784161,37.49532071115839
"qubit_sharpen",46,0.49734538103637554,0.45896875781142593,37.820912406981066
"qubit_sharpen",48,0.495920223295814,0.46146744251910526,38.00119300261529
"qubit_sharpen",50,0.4843486042590155,0.44631511603988144,38.25068456298276
"qubit_sharpen",52,0.48400046715968564,0.4495217210138023,38.37611112377522
"qubit_sharpen",54,0.4745168705025715,0.4368553373579954,38.568193348579996
"qubit_sharpen",56,0.4749438563026824,0.4404659739055249,38.65394998374641
"qubit_sharpen",58,0.46714987573021144,0.42983948688424223,38.80263790797604
"qubit_sharpen",60,0.4681041121605526,0.433627891901023,38.8598444165572
"qubit_sharpen",62,0.46166859927186726,0.42466962036668404,38.97564562758239
"qubit_sharpen",64,0.4629576303056826,0.428474013280572,39.01243593460975
"qubit_sharpen",66,0.45761297074720214,0.4208816103421176,39.10323253324892
"qubit_sharpen",68,0.45909309852189506,0.42459093751883853,39.125544708252164
"qubit_sharpen",70,0.45462621898252803,0.4181211873410186,39.19725548832313
